X.RIC,type,primary_id,suffix_id,series_description,first_traded,first_notice,expires,settle_date,expiration_detail,underlying_RIC
ZLZ0,future_series,ZL,Z0,SOYBEAN OIL Dec0->SOYBEAN OIL DEC0,2000-08-25,,2010-12-14,2010-12-18,14-DEC-2000->14-DEC-2010,
ZMF0,future_series,ZM,F0,SOY MEAL JAN0,2008-08-26,,2010-01-14,2010-01-16,14-JAN-2010,
ZMH0,future_series,ZM,H0,SOY MEAL MAR0,2008-06-19,,2010-03-12,2010-03-13,12-MAR-2010,
ZMK0,future_series,ZM,K0,SOY MEAL MAY0,2008-08-26,,2010-05-14,2010-05-15,14-MAY-2010,
ZMN0,future_series,ZM,N0,SOY MEAL JUL0,2007-12-16,,2010-07-14,2010-07-17,14-JUL-2010,
ZMQ0,future_series,ZM,Q0,SOY MEAL AUG0,2008-11-04,,2010-08-13,2010-08-14,13-AUG-2010,
ZMU0,future_series,ZM,U0,SOY MEAL Sep0->SOY MEAL SEP0,2000-08-25,,2010-09-14,2010-09-18,14-SEP-2000->14-SEP-2010,
ZMV0,future_series,ZM,V0,SOY MEAL Oct0->SOY MEAL OCT0,2000-08-25,,2010-10-14,2010-10-23,13-OCT-2000->14-OCT-2010,
ZMZ0,future_series,ZM,Z0,SOY MEAL Dec0->SOY MEAL DEC0,2000-08-25,,2010-12-14,2010-12-18,14-DEC-2000->14-DEC-2010,
ZNH0,future_series,ZN,H0,PJA 10YR NT Mar0->10YR TNotes MAR0,1998-09-26,,2010-03-22,2010-04-03,22-MAR-2000->22-MAR-2010,
ZNM0,future_series,ZN,M0,PJA 10YR NT Jun0->10YR TNotes JUN0,1998-12-22,,2010-06-21,2010-06-26,21-JUN-2000->21-JUN-2010,
ZNU0,future_series,ZN,U0,PJA 10YR NT Sep0->PJA 10YR TN Sep0->ace 10YR TN Sep0->10YR TNotes SEP0,1999-06-22,,2010-06-21,2010-09-25,20-SEP-2000->21-SEP-2010,
ZNZ0,future_series,ZN,Z0,PJA 10YR NT Dec0->PJA 10YR TN Dec0->ace 10YR TN Dec0->10YR TNotes DEC0,1999-09-22,,2010-12-21,2010-12-25,19-DEC-2000->22-DEC-2010->21-DEC-2010,
ZSF0,future_series,ZS,F0,SOYBEANS JAN0,2008-08-18,,2010-01-14,2010-01-16,14-JAN-2010,
ZSH0,future_series,ZS,H0,SOYBEANS MAR0,2008-06-19,,2010-03-12,2010-03-13,12-MAR-2010,
ZSK0,future_series,ZS,K0,SOYBEANS MAY0,2008-08-26,,2010-05-14,2010-05-15,14-MAY-2010,
ZSN0,future_series,ZS,N0,SOYBEANS JUL0,2007-11-15,,2010-07-14,2010-07-17,14-JUL-2010,
ZSQ0,future_series,ZS,Q0,SOYBEANS AUG0,2008-11-04,,2010-08-13,2010-08-14,13-AUG-2010,
ZSU0,future_series,ZS,U0,SOYBEANS Sep0->SOYBEANS SEP0,2000-08-25,,2010-09-14,2010-09-18,14-SEP-2000->14-SEP-2010,
ZSX0,future_series,ZS,X0,SOYBEANS Nov0->SOYBEANS NOV0,2000-08-25,,2010-11-12,2010-11-13,14-NOV-2000->12-NOV-2010,
ZTH0,future_series,ZT,H0,PJA 2YR NT Mar0->2YR T-NOTES MAR0,1998-12-30,,2010-03-31,2010-04-03,31-MAR-2000->31-MAR-2010,
ZTM0,future_series,ZT,M0,PJA 2YR NT Jun0->2YR T-NOTES JUN0,1998-12-30,,2010-06-30,2010-07-03,30-JUN-2000->30-JUN-2010,
ZTU0,future_series,ZT,U0,PJA 2YR NT Sep0->ace 2YR NT Sep0->2YR T-NOTES SEP0,1999-06-29,,2010-09-30,2010-10-02,29-SEP-2000->30-SEP-2010,
ZTZ0,future_series,ZT,Z0,PJA 2YR NT Dec0->ace 2YR NT Dec0->2YR T-NOTES DEC0,1999-09-29,,2010-12-31,2011-01-01,29-DEC-2000->31-DEC-2010,
ZWH0,future_series,ZW,H0,WHEAT MAR0,2008-03-15,,2010-03-12,2010-03-13,12-MAR-2010,
ZWK0,future_series,ZW,K0,WHEAT MAY0,2008-12-17,,2010-05-14,2010-05-15,14-MAY-2010,
ZWN0,future_series,ZW,N0,WHEAT JUL0,2007-07-19,,2010-07-14,2010-07-17,14-JUL-2010,
ZWU0,future_series,ZW,U0,WHEAT Sep0->WHEAT SEP0,2000-08-25,,2010-09-14,2010-09-18,14-SEP-2000->14-SEP-2010,
ZWZ0,future_series,ZW,Z0,WHEAT Dec0->WHEAT DEC0,2000-08-25,,2010-12-14,2010-12-18,14-DEC-2000->14-DEC-2010,
AEXF1,future_series,AEX,F1,AEX FUT JAN1,2000-01-24,,2011-01-21,2011-01-22,19-JAN-2001->21-JAN-2011,.AEX
AEXG1,future_series,AEX,G1,AEX FUT FEB1,2000-11-17,,2011-02-18,2011-02-19,16-FEB-2001->18-FEB-2011,.AEX
AEXH1,future_series,AEX,H1,AEX FUT MAR1,2000-12-16,,2011-03-18,2011-03-19,16-MAR-2001->18-MAR-2011,.AEX
AEXJ1,future_series,AEX,J1,AEX FUT APR1,2000-04-20,,2011-04-15,2011-04-16,20-APR-2001->15-APR-2011,.AEX
AEXK1,future_series,AEX,K1,AEX FUT MAY1,2001-02-18,,2011-05-20,2011-05-21,18-MAY-2001->20-MAY-2011,.AEX
AEXM1,future_series,AEX,M1,AEX FUT JUN1,2001-03-17,,2011-06-17,2011-06-27,15-JUN-2001->17-JUN-2011,.AEX
AEXN1,future_series,AEX,N1,AEX FUT JUL1,2000-07-21,,2011-07-15,2011-07-15,20-JUL-2001->15-JUL-2011,.AEX
AEXQ1,future_series,AEX,Q1,AEX FUT AUG1,2001-05-21,,2011-08-19,2011-08-19,17-AUG-2001->19-AUG-2011,.AEX
AEXU1,future_series,AEX,U1,AEX FUT SEP1,2001-06-18,,2011-06-26,2011-06-27,21-SEP-2001->16-SEP-2011,.AEX
AEXV1,future_series,AEX,V1,AEX FUT OCT1,2000-10-20,,2001-10-19,2001-10-19,19-OCT-2001,
AEXX1,future_series,AEX,X1,AEX FUT NOV1,2001-08-20,,2001-11-16,2001-11-16,16-NOV-2001,
AEXZ1,future_series,AEX,Z1,AEX FUT DEC1,2001-09-21,,2011-12-16,2011-12-16,21-DEC-2001->16-DEC-2011,.AEX
AUBH1,future_series,AUB,H1,ULTRA BOND MAR1,2010-06-22,,2011-03-22,2011-03-26,22-MAR-2011,
AUBM1,future_series,AUB,M1,ULTRA BOND JUN1,2010-03-23,,2011-06-21,2011-06-25,21-JUN-2011,
AUBU1,future_series,AUB,U1,ULTRA BOND SEP1,2010-06-01,,2011-09-21,2011-09-21,21-SEP-2011,
AUBZ1,future_series,AUB,Z1,ULTRA BOND DEC1,2011-03-23,,2011-12-21,2011-12-21,21-DEC-2011,
BL2F1,future_series,BL2,F1,M.WHEAT EUR JAN1->M.WHEATEU JAN1,1999-09-13,,2011-01-10,2011-01-15,10-JAN-2001->10-JAN-2011,
BL2H1,future_series,BL2,H1,M.WHEAT EUR MAR1->M.WHEATEU MAR1,1999-11-11,,2011-03-10,2011-03-12,12-MAR-2001->10-MAR-2011,
BL2K1,future_series,BL2,K1,M.WHEAT EUR MAY1->M.WHEATEU MAY1,2000-01-11,,2011-05-10,2011-05-14,10-MAY-2001->10-MAY-2011,
BL2Q1,future_series,BL2,Q1,M.WHEAT EUR AUG1->M.WHEATEU AUG1,2010-01-12,,2011-08-10,2011-08-10,10-AUG-2011,
BL2X1,future_series,BL2,X1,M.WHEAT EUR NOV1->M.WHEATEU NOV1,2000-05-11,,2011-11-10,2011-11-10,12-NOV-2001->10-NOV-2011,
CCH1,future_series,CC,H1,COCOA Mar1->ICE COCOA MAR1,1999-03-17,,2011-03-16,2011-03-19,15-MAR-2001->16-MAR-2011,
CCK1,future_series,CC,K1,COCOA May1->ICE COCOA MAY1,1999-05-14,,2011-05-13,2011-05-14,15-MAY-2001->13-MAY-2011,
CCN1,future_series,CC,N1,COCOA Jul1->ICE COCOA JUL1,1999-07-16,,2011-07-14,2011-07-14,16-JUL-2001->14-JUL-2011,
CCU1,future_series,CC,U1,COCOA Sep1->ICE COCOA SEP1,1999-09-16,,2011-09-15,2011-06-27,13-SEP-2001->15-SEP-2011,
CCZ1,future_series,CC,Z1,COCOA Dec1->ICE COCOA DEC1,1999-12-16,,2011-12-14,2011-06-27,13-DEC-2001->11-DEC-2001->14-DEC-2011,
CGBH1,future_series,CGB,H1,10 YR BOND Mar1->CA 10YR BND MAR1,2000-03-23,,2011-03-25,2011-03-26,21-MAR-2001->16-MAR-2001->22-MAR-2011,
CGBM1,future_series,CGB,M1,10 YR BOND Jun1->CA 10YR BND JUN1,2000-10-04,,2011-06-24,2011-06-25,20-JUN-2001->15-JUN-2001->21-JUN-2011,
CGBU1,future_series,CGB,U1,10 YR BOND Sep1->CA 10YR BND SEP1,2001-03-06,,2011-09-21,2011-09-21,21-SEP-2001->19-SEP-2001->21-SEP-2011,
CGBZ1,future_series,CGB,Z1,10 YR BOND Dec1->CA 10YR BND DEC1,2001-03-22,,2011-12-19,2011-12-19,19-DEC-2001->19-DEC-2011,
CLF1,future_series,CL,F1,LIGHT CRUDE Jan1->LIGHT CRUDE JAN1,1998-08-21,,2010-12-20,2010-12-25,19-DEC-2000->22-DEC-2000->19-DEC-2000->22-DEC-2010->20-DEC-2010,
CLG1,future_series,CL,G1,LIGHT CRUDE Feb1->LIGHT CRUDE FEB1,1998-08-21,,2011-01-20,2011-01-22,22-JAN-2001->20-JAN-2011,
CLH1,future_series,CL,H1,LIGHT CRUDE Mar1->LIGHT CRUDE MAR1,1998-08-21,,2011-02-25,2011-02-26,20-FEB-2001->22-FEB-2011,
CLJ1,future_series,CL,J1,LIGHT CRUDE Apr1->LIGHT CRUDE APR1,1998-11-21,,2011-03-22,2011-03-26,20-MAR-2001->22-MAR-2011,
CLK1,future_series,CL,K1,LIGHT CRUDE May1->LIGHT CRUDE MAY1,1998-11-21,,2011-04-19,2011-04-23,20-APR-2001->20-APR-2011->19-APR-2011,
CLM1,future_series,CL,M1,LIGHT CRUDE Jun1->LIGHT CRUDE JUN1,1998-05-20,,2011-05-20,2011-05-21,22-MAY-2001->20-MAY-2011,
CLN1,future_series,CL,N1,LIGHT CRUDE Jul1->LIGHT CRUDE JUL1,1999-02-23,,2011-06-21,2011-06-25,20-JUN-2001->21-JUN-2011,
CLQ1,future_series,CL,Q1,LIGHT CRUDE AUG1->LIGHT CRUDE Aug1->LIGHT CRUDE AUG1,1999-02-23,,2011-07-20,2011-07-20,22-JUL-2001->20-JUL-2001->20-JUL-2011,
CLU1,future_series,CL,U1,LIGHT CRUDE SEP1->LIGHT CRUDE Sep1->LIGHT CRUDE SEP1,1999-02-23,,2011-08-22,2011-08-22,22-AUG-2001->21-AUG-2001->22-AUG-2011,
CLV1,future_series,CL,V1,LIGHT CRUDE Oct1->LIGHT CRUDE OCT1,1999-05-21,,2011-09-20,2011-09-20,20-SEP-2001->20-SEP-2011,
CLX1,future_series,CL,X1,LIGHT CRUDE Nov1->LIGHT CRUDE NOV1,1999-05-21,,2011-10-20,2011-10-20,22-OCT-2001->20-OCT-2011,
CLZ1,future_series,CL,Z1,LIGHT CRUDE Dec1->LIGHT CRUDE DEC1,1997-01-03,,2011-11-18,2011-11-18,->18-NOV-2011->21-NOV-2011->18-NOV-2011->21-NOV-2011->18-NOV-2011,
CTH1,future_series,CT,H1,COTTON NO 2 Mar1->ICE COT 2 MAR1,1999-03-10,,2011-03-09,2011-03-12,08-MAR-2001->09-MAR-2011,
CTK1,future_series,CT,K1,COTTON NO 2 May1->ICE COT 2 MAY1,1999-04-09,,2011-05-06,2011-05-07,08-MAY-2001->06-MAY-2011,
CTN1,future_series,CT,N1,COTTON NO 2 Jul1->ICE COT 2 JUL1,1999-05-07,,2011-07-07,2011-06-27,09-JUL-2001->07-JUL-2011,
CTV1,future_series,CT,V1,COTTON NO 2 Oct1->ICE COT 2 OCT1,1999-07-09,,2011-10-07,2011-10-07,09-OCT-2001->07-OCT-2011,
CTZ1,future_series,CT,Z1,COTTON NO 2 Dec1->ICE COT 2 DEC1,1999-09-09,,2011-12-07,2011-12-07,06-DEC-2001->04-DEC-2001->07-DEC-2011,
DMH1,future_series,DM,H1,DEUTSCHE MK Mar1->MIDC E-MINI MAR1,2000-06-20,,2011-03-18,2011-03-19,19-MAR-2001->18-MAR-2011,.IDX
DMM1,future_series,DM,M1,DEUTSCHE MK Jun1->MIDC E-MINI JUN1,2000-09-19,,2011-06-17,2011-06-25,18-JUN-2001->17-JUN-2011,.IDX
DMU1,future_series,DM,U1,DEUTSCHE MK Sep1->MIDC E-MINI SEP1,2000-12-19,,2011-09-16,2011-09-16,17-SEP-2001->19-SEP-2001->17-SEP-2001->16-SEP-2011,.IDX
DMZ1,future_series,DM,Z1,DEUTSCHE MK Dec1->MIDC E-MINI DEC1,2001-03-20,,2011-12-16,2011-06-27,17-DEC-2001->19-DEC-2001->17-DEC-2001->16-DEC-2011,.IDX
DXH1,future_series,DX,H1,FINEX INDEX Mar1->US DLR IDX Mar1->ICE DOLIDX MAR1,1999-12-16,,2011-03-18,2011-03-19,15-MAR-2001->21-MAR-2001->14-MAR-2011,.DXY
DXM1,future_series,DX,M1,FINEX INDEX Jun1->US DLR IDX Jun1->ICE DOLIDX JUN1,2000-06-22,,2011-06-13,2011-06-18,20-JUN-2001->18-JUN-2001->13-JUN-2011,.DXY
DXU1,future_series,DX,U1,FINEX INDEX Sep1->US DLR IDX Sep1->ICE DOLIDX SEP1,2000-09-21,,2011-09-19,2011-09-19,19-SEP-2001->17-SEP-2001->19-SEP-2011,.DXY
DXZ1,future_series,DX,Z1,FINEX INDEX Dec1->US DLR IDX Dec1->ICE DOLIDX DEC1,2000-12-21,,2011-12-19,2011-12-19,19-DEC-2001->17-DEC-2001->19-DEC-2011,.DXY
EDF1,future_series,ED,F1,3-MTH EURO$ Jan1->3M EURO$ JAN1,2000-07-15,,2011-01-17,2011-01-22,15-JAN-2001->17-JAN-2011,USD3MFSR=
EDG1,future_series,ED,G1,3-MTH EURO$ Feb1->3M EURO$ FEB1,2000-08-12,,2011-02-14,2011-02-19,16-FEB-2001->14-FEB-2011,USD3MFSR=
EDH1,future_series,ED,H1,3-MTH EURO$ Mar1->3-MTH EURO$ MAR1->3M EURO$ MAR1,1996-01-02,,2011-06-26,2011-06-27,->16-MAR-2011->14-MAR-2011->16-MAR-2011->14-MAR-2011->15-MAR-2021,LIUSD3MD=->USD3MFSR=
EDJ1,future_series,ED,J1,3-MTH EURO$ Apr1->3M EURO$ APR1,2000-10-14,,2011-04-18,2011-04-23,16-APR-2001->12-APR-2001->18-APR-2011,USD3MFSR=
EDK1,future_series,ED,K1,3-MTH EURO$ May1->3M EURO$ MAY1,2000-11-11,,2011-05-16,2011-05-21,14-MAY-2001->16-MAY-2011,USD3MFSR=
EDM1,future_series,ED,M1,3-MTH EURO$ Jun1->3-MTH EURO$ JUN1->3M EURO$ JUN1,1996-01-02,,2011-06-13,2011-06-27,18-JUN-2001->14-JUN-2011->15-JUN-2011->13-JUN-2011->14-JUN-2021,LIUSD3MD=->USD3MFSR=
EDN1,future_series,ED,N1,3-MTH EURO$ Jul1->3M EURO$ JUL1,2001-01-13,,2011-07-18,2011-07-18,16-JUL-2001->18-JUL-2011,USD3MFSR=
EDQ1,future_series,ED,Q1,3-MTH EURO$ Aug1->3M EURO$ AUG1,2001-02-17,,2011-08-15,2011-08-15,13-AUG-2001->15-AUG-2011,USD3MFSR=
EDU1,future_series,ED,U1,3-MTH EURO$ Sep1->3-MTH EURO$ SEP1->3M EURO$ SEP1,1996-01-02,,2011-09-15,2011-09-15,17-SEP-2001->19-SEP-2011,LIUSD3MD=->USD3MFSR=
EDV1,future_series,ED,V1,3-MTH EURO$ Oct1->3M EURO$ OCT1,2001-04-13,,2011-10-17,2011-10-17,15-OCT-2001->17-OCT-2011,USD3MFSR=
EDX1,future_series,ED,X1,3-MTH EURO$ Nov1->3M EURO$ NOV1,2001-05-12,,2011-11-14,2011-11-14,19-NOV-2001->14-NOV-2011,USD3MFSR=
EDZ1,future_series,ED,Z1,3-MTH EURO$ Dec1->3-MTH EURO$ DEC1->3M EURO$ DEC1,1996-01-02,,2011-12-19,2011-12-19,17-DEC-2001->19-DEC-2011,LIUSD3MD=->USD3MFSR=
EMXH1,future_series,EMX,H1,EMINI EMI MAR1,2010-02-08,,2011-03-18,2011-03-19,18-MAR-2011,.EMS
EMXM1,future_series,EMX,M1,EMINI EMI JUN1,2010-02-08,,2011-06-17,2011-06-20,17-JUN-2011,.EMS
EMXU1,future_series,EMX,U1,EMINI EMI SEP1,2010-03-22,,2011-09-16,2011-09-16,16-SEP-2011,.EMS
EMXZ1,future_series,EMX,Z1,EMINI EMI DEC1,2010-06-19,,2011-12-16,2011-12-16,16-DEC-2011,.EMS
ESH1,future_series,ES,H1,E-MINI S&P Mar1->E-MINI S&P MAR1->EMINI S&P MAR1,2000-09-16,,2011-03-18,2011-03-19,16-MAR-2001->18-MAR-2011,.INX->.SPX
ESM1,future_series,ES,M1,E-MINI S&P Jun1->E-MINI S&P JUN1->EMINI S&P JUN1,2000-12-15,,2011-06-17,2011-06-20,15-JUN-2001->17-JUN-2011,.INX->.SPX->.INX->.SPX
ESU1,future_series,ES,U1,E-MINI S&P Sep1->E-MINI S&P SEP1->EMINI S&P SEP1,2001-03-17,,2011-09-16,2011-09-16,21-SEP-2001->16-SEP-2011,.INX->.SPX->.INX->.SPX
ESZ1,future_series,ES,Z1,E-MINI S&P Dec1->EMINI S&P DEC1,2001-06-04,,2011-12-16,2011-12-16,21-DEC-2001->16-DEC-2011,.INX->.SPX->.INX->.SPX
FBTPH1,future_series,FBTP,H1,BTP 6% MAR1,2010-06-08,,2011-03-08,2011-03-12,08-MAR-2011,
FBTPM1,future_series,FBTP,M1,BTP 6% JUN1,2010-09-08,,2011-06-08,2011-06-11,08-JUN-2011,
FBTPU1,future_series,FBTP,U1,BTP 6% SEP1,2010-12-08,,2011-09-08,2011-09-08,08-SEP-2011,
FBTPZ1,future_series,FBTP,Z1,BTP 6% DEC1,2011-03-08,,2011-12-08,2011-12-08,08-DEC-2011,
FCF1,future_series,FC,F1,FDR CATTLE Jan1->FDR CATTLE JAN1,2000-01-28,,2011-01-27,2011-01-29,25-JAN-2001->27-JAN-2011,
FCH1,future_series,FC,H1,FDR CATTLE Mar1->FDR CATTLE MAR1,2000-03-31,,2011-03-31,2011-04-02,29-MAR-2001->31-MAR-2011,
FCJ1,future_series,FC,J1,FDR CATTLE Apr1->FDR CATTLE APR1,2000-04-21,,2011-04-21,2011-04-23,26-APR-2001->21-APR-2011,
FCK1,future_series,FC,K1,FDR CATTLE May1->FDR CATTLE MAY1,2000-05-26,,2011-05-26,2011-06-25,31-MAY-2001->26-MAY-2011,
FCQ1,future_series,FC,Q1,FDR CATTLE Aug1->FDR CATTLE AUG1,2000-09-01,,2011-10-25,2011-10-25,30-AUG-2001->25-AUG-2011,
FCU1,future_series,FC,U1,FDR CATTLE Sep1->FDR CATTLE SEP1,2000-09-29,,2011-09-29,2011-09-29,27-SEP-2001->29-SEP-2011,
FCV1,future_series,FC,V1,FDR CATTLE Oct1->FDR CATTLE OCT1,2000-10-27,,2011-10-27,2011-10-27,25-OCT-2001->27-OCT-2011,
FCX1,future_series,FC,X1,FDR CATTLE Nov1->FDR CATTLE NOV1,2000-11-17,,2011-11-17,2011-11-17,15-NOV-2001->17-NOV-2011,
FCEF1,future_series,FCE,F1,CAC 40 JAN1->CAC 40JAN1,2000-10-31,,2011-01-21,2011-01-22,31-JAN-2001->21-JAN-2011,.FCHI
FCEG1,future_series,FCE,G1,CAC 40 FEB1->CAC 40FEB1,2000-11-30,,2011-02-18,2011-02-19,28-FEB-2001->18-FEB-2011,.FCHI
FCEH1,future_series,FCE,H1,CAC 40 MAR1->CAC 40MAR1,1999-04-01,,2011-03-18,2011-03-19,31-MAR-2000->31-MAR-2001->30-MAR-2001->18-MAR-2011,.FCHI
FCEJ1,future_series,FCE,J1,CAC 40 APR1->CAC 40APR1,2001-01-31,,2011-04-15,2011-04-16,30-APR-2001->15-APR-2011,.FCHI
FCEK1,future_series,FCE,K1,CAC 40 MAY1->CAC 40MAY1,2001-03-01,,2011-05-20,2011-05-21,31-MAY-2001->20-MAY-2011,.FCHI
FCEM1,future_series,FCE,M1,CAC 40 JUN1->CAC 40JUN1,2000-06-30,,2011-06-17,2011-06-18,30-JUN-2001->29-JUN-2001->17-JUN-2011,.FCHI
FCEN1,future_series,FCE,N1,CAC 40 JUL1->DJAIG En.->CAC 40JUL1,2001-04-30,,2011-07-15,2011-07-15,31-JUL-2001->15-JUL-2011,
FCEQ1,future_series,FCE,Q1,CAC 40 AUG1->CAC 40AUG1,2001-06-01,,2011-08-19,2011-08-19,31-AUG-2001->19-AUG-2011,.FCHI
FCEU1,future_series,FCE,U1,CAC 40 SEP1->CAC 40SEP1,1999-09-30,,2011-09-16,2011-09-16,30-SEP-2001->28-SEP-2001->16-SEP-2011,.FCHI
FCEV1,future_series,FCE,V1,CAC 40 OCT1,2001-07-31,,2001-10-31,2001-11-01,31-OCT-2001,
FCEX1,future_series,FCE,X1,CAC 40 NOV1,2001-08-31,,2001-11-30,2001-12-03,30-NOV-2001,
FCEZ1,future_series,FCE,Z1,CAC 40 DEC1->CAC 40DEC1,2000-12-29,,2011-12-16,2011-06-27,28-DEC-2001->16-DEC-2011,.FCHI
FDXH1,future_series,FDX,H1,DAX INDEX MAR1,2000-06-16,,2011-03-18,2011-03-20,16-MAR-2001->18-MAR-2011,.GDAXI
FDXM1,future_series,FDX,M1,DAX INDEX JUN1,2000-09-14,,2011-06-17,2011-06-18,15-JUN-2001->17-JUN-2011,.GDAXI
FDXU1,future_series,FDX,U1,DAX INDEX SEP1,2000-12-15,,2011-09-16,2011-09-16,21-SEP-2001->16-SEP-2011,.GDAXI
FDXZ1,future_series,FDX,Z1,DAX INDEX DEC1,2001-03-16,,2011-12-16,2011-12-16,21-DEC-2001->16-DEC-2011,.GDAXI
FFIH1,future_series,FFI,H1,FTSE INDEX MAR1->FTSE IDX MAR1,2000-06-16,,2011-03-25,2011-03-26,16-MAR-2001->18-MAR-2011,.FTSE
FFIM1,future_series,FFI,M1,FTSE INDEX JUN1->FTSE IDX JUN1->FTSE INDEX JUN1,2000-09-15,,2011-06-17,2011-06-18,15-JUN-2001->17-JUN-2011,.FTSE
FFIU1,future_series,FFI,U1,FTSE INDEX SEP1,2000-12-17,,2011-09-16,2011-09-16,21-SEP-2001->16-SEP-2011,.FTSE
FFIZ1,future_series,FFI,Z1,FTSE INDEX DEC1,2001-03-16,,2011-12-16,2011-12-16,21-DEC-2001->16-DEC-2011,.FTSE
FGBLH1,future_series,FGBL,H1,EURO BUND MAR1->BUND FUT 6% MAR1,2000-06-07,,2011-03-11,2011-03-12,08-MAR-2001->08-MAR-2011,
FGBLM1,future_series,FGBL,M1,BUND FUT 6% JUN1,2000-09-07,,2011-06-10,2011-06-11,07-JUN-2001->08-JUN-2011,
FGBLU1,future_series,FGBL,U1,BUND FUT 6% SEP1,2000-12-07,,2011-09-08,2011-09-08,06-SEP-2001->08-SEP-2011,
FGBLZ1,future_series,FGBL,Z1,BUND FUT 6% DEC1,2001-03-10,,2011-12-08,2011-12-08,06-DEC-2001->08-DEC-2011,
FGBMH1,future_series,FGBM,H1,EURO BOBL MAR1->BOBL FUT 6% MAR1,2000-06-07,,2011-03-08,2011-03-12,08-MAR-2001->08-MAR-2011,
FGBMM1,future_series,FGBM,M1,BOBL FUT 6% JUN1,2000-09-07,,2011-06-08,2011-06-11,07-JUN-2001->08-JUN-2011,
FGBMU1,future_series,FGBM,U1,BOBL FUT 6% SEP1,2000-12-07,,2011-09-08,2011-09-08,06-SEP-2001->08-SEP-2011,
FGBMZ1,future_series,FGBM,Z1,BOBL FUT 6% DEC1,2001-03-10,,2011-12-08,2011-06-27,06-DEC-2001->08-DEC-2011,
FGBSH1,future_series,FGBS,H1,EURO SCHATZ MAR1->SCHATZ 6% MAR01->SCHATZ 6% MAR1,2000-06-07,,2011-03-08,2011-03-12,08-MAR-2001->08-MAR-2011,
FGBSM1,future_series,FGBS,M1,SCHATZ 6% JUN01->SCHATZ 6% JUN1,2000-09-07,,2011-06-08,2011-06-11,07-JUN-2001->08-JUN-2011,
FGBSU1,future_series,FGBS,U1,SCHATZ 6% SEP01->SCHATZ 6% SEP1,2000-12-07,,2011-09-08,2011-09-08,06-SEP-2001->08-SEP-2011,
FGBSZ1,future_series,FGBS,Z1,SCHATZ 6% DEC01->SCHATZ 6% DEC1,2001-03-10,,2011-12-08,2011-12-08,06-DEC-2001->08-DEC-2011,
FGBXH1,future_series,FGBX,H1,EUR BUXL 4% MAR1,2010-06-08,,2011-03-08,2011-03-12,08-MAR-2011,
FGBXM1,future_series,FGBX,M1,EUR BUXL 4% JUN1,2010-09-08,,2011-06-08,2011-06-11,08-JUN-2011,
FGBXU1,future_series,FGBX,U1,EUR BUXL 4% SEP1,2010-12-08,,2011-09-08,2011-09-08,08-SEP-2011,
FGBXZ1,future_series,FGBX,Z1,EUR BUXL 4% DEC1,2011-03-08,,2011-12-08,2011-12-08,08-DEC-2011,
FLGH1,future_series,FLG,H1,LONG GILT MAR1,2000-06-28,,2011-03-29,2011-04-02,28-MAR-2001->29-MAR-2011,
FLGM1,future_series,FLG,M1,LONG GILT JUN1,2000-09-27,,2011-06-28,2011-06-27,28-JUN-2001->27-JUN-2001->28-JUN-2011,
FLGU1,future_series,FLG,U1,LONG GILT SEP1,2000-12-27,,2011-09-28,2011-09-28,29-SEP-2001->26-SEP-2001->28-SEP-2011,
FLGZ1,future_series,FLG,Z1,LONG GILT DEC1,2001-03-28,,2011-12-28,2011-12-28,27-DEC-2001->28-DEC-2011,
GH1,future_series,G,H1,SHORT GILT MAR1->SHRT GILT MAR1,2010-06-29,,2011-03-29,2011-04-02,29-MAR-2011,
GM1,future_series,G,M1,SHORT GILT JUN1,2010-09-29,,2011-06-28,2011-06-28,28-JUN-2011,
GU1,future_series,G,U1,SHORT GILT SEP1,2010-12-30,,2011-06-26,2011-06-27,28-SEP-2011,
GZ1,future_series,G,Z1,SHORT GILT DEC1,2011-03-30,,2011-06-25,2011-06-26,28-DEC-2011,
GCF1,future_series,GC,F1,100 OZ GOLD Jan1->100 OZ GOLD JAN1,2000-10-28,,2011-01-27,2011-01-29,29-JAN-2001->27-JAN-2011,
GCG1,future_series,GC,G1,100 OZ GOLD Feb1->100 OZ GOLD FEB1,1999-03-30,,2011-02-24,2011-02-26,27-FEB-2001->26-FEB-2001->24-FEB-2011,
GCH1,future_series,GC,H1,100 OZ GOLD Mar1->100 OZ GOLD MAR1,2000-12-28,,2011-03-27,2011-04-02,28-MAR-2001->29-MAR-2011,
GCJ1,future_series,GC,J1,100 OZ GOLD Apr1->100 OZ GOLD APR1,1999-05-27,,2011-04-27,2011-04-30,26-APR-2001->27-APR-2011,
GCK1,future_series,GC,K1,100 OZ GOLD May1->100 OZ GOLD MAY1,2001-02-27,,2011-05-26,2011-05-28,29-MAY-2001->26-MAY-2011,
GCM1,future_series,GC,M1,100 OZ GOLD Jun1->100 OZ GOLD JUN1,1996-06-27,,2011-06-28,2011-06-27,27-JUN-2001->28-JUN-2011,
GCN1,future_series,GC,N1,100 OZ GOLD Jul1->100 OZ GOLD JUL1,2001-04-27,,2011-06-26,2011-06-27,27-JUL-2001->27-JUL-2011,
GCQ1,future_series,GC,Q1,100 OZ GOLD Aug1->100 OZ GOLD AUG1,1999-09-29,,2011-06-26,2011-06-27,29-AUG-2001->29-AUG-2011,
GCU1,future_series,GC,U1,100 OZ GOLD Sep1,2001-06-28,,2001-09-26,2001-09-27,26-SEP-2001,
